Companies,Keywords,Search,Search Engine,Title,Link,Time Stamp,Media name
Tata,lawsuit,Tata lawsuit,Google,Tata Cliq CEO Faces Lawsuit From Nykaa For Breaching Confidentiality: Report,https://inc42.com/buzz/tata-cliq-ceo-faces-lawsuit-from-nykaa-for-breaching-confidentiality-report/,,Inc42
Tata,lawsuit,Tata lawsuit,Google,Here’s why Nykaa is suing Tata Cliq CEO Gopal Asthana,https://timesofindia.indiatimes.com/technology/tech-news/heres-why-nykaa-is-suing-tata-cliq-ceo-gopal-asthana/articleshow/113087875.cms,,Times of India
Tata,lawsuit,Tata lawsuit,Google,Nykaa Files Lawsuit Against Former CBO and Current Tata Cliq CEO Asthana  for Contract Violation,https://www.outlookbusiness.com/start-up/news/nykaa-files-lawsuit-against-former-cbo-and-current-tata-cliq-ceo-asthana-for-contract-violation,2024-09-05T08:29:58.160+05:30,Outlook Business
Tata,lawsuit,Tata lawsuit,Google,"ETtech Exclusive: Nykaa sues former CBO, current Tata Cliq CEO Asthana for  contract breach",https://m.economictimes.com/tech/technology/nykaa-sues-former-executive-asthana-who-now-heads-tata-cliq/articleshow/113072347.cms,,The Economic Times
Tata,lawsuit,Tata lawsuit,Google,"Tata Fired White US Workers in Favor of Visa Holders, Suit Says",https://news.bloomberglaw.com/daily-labor-report/tata-fired-white-us-workers-in-favor-of-visa-holders-suit-says,,Bloomberg Law News
Tata,lawsuit,Tata lawsuit,Google,TCS to take $125 million hit to Q3 earnings over US lawsuit,https://www.moneycontrol.com/news/business/indias-tcs-to-take-125-million-hit-to-q3-earnings-over-us-lawsuit-11783171.html,,Moneycontrol
Tata,lawsuit,Tata lawsuit,Google,US Supreme Court rejects Indian IT company's appeal in Epic trade secrets  case,https://www.fiercehealthcare.com/health-tech/us-supreme-court-rejects-indian-it-companys-appeal-epic-trades-secret-case,,FierceHealthcare
Tata,lawsuit,Tata lawsuit,Google,Here’s why Nykaa is suing Tata Cliq CEO Gopal Asthana,https://www.msn.com/en-in/news/India/here-s-why-nykaa-is-suing-tata-cliq-ceo-gopal-asthana/ar-AA1q29B2,,MSN
Tata,lawsuit,Tata lawsuit,Google,"TCS fined Rs 1,600 crore by US court for misappropriation of trade secrets",https://m.economictimes.com/tech/information-tech/tcs-fined-rs-1600-crore-by-us-court-in-dxc-case/articleshow/111013835.cms,,The Economic Times
Tata,lawsuit,Tata lawsuit,Google,TCS to take $125-m hit in Q3 over Epic lawsuit,https://www.thehindubusinessline.com/info-tech/tcs-to-take-125-m-hit-in-q3-over-epic-lawsuit/article67560870.ece,2023-11-22T05:39:09.000Z,The Hindu BusinessLine
Tata,lawsuit,Tata lawsuit,Google,"What is the DXC lawsuit, for which TCS faces a penalty of $210 million?",https://www.jagranjosh.com/general-knowledge/what-is-the-dxc-lawsuit-for-which-tcs-faces-a-penalty-of-210-million-dollar-1701184180-1,2023-11-28T20:36:00+05:30,Jagran Josh
Tata,lawsuit,Tata lawsuit,Google,TCS Q3 faces setback as US Supreme Court rejects appeal in EPIC case — co  plans $125-mn provision,https://www.cnbctv18.com/business/companies/tcs-faces-setback-as-us-supreme-court-rejects-appeal-in-epic-case-plans-usd-125-million-provision-18377561.htm,2023-11-21T19:04:36+05:30,CNBC TV18
Tata,lawsuit,Tata lawsuit,Google,"TCS fined Rs 1,600 crore by the US court on complaint of this US-based  company, here's the company's BSE",https://timesofindia.indiatimes.com/technology/tech-news/tcs-fined-rs-16000-crore-by-the-us-court-on-complaint-of-this-us-based-company-heres-the-companys-bse-filing/articleshow/111036958.cms,,Times of India
Tata,lawsuit,Tata lawsuit,Google,Will Tata Consultancy Q3 be hit after US court order’s company to pay $125  Million?,https://tradebrains.in/features/will-tata-consultancy-q3-be-hit-after-us-court-orders-company-to-pay-125-million/,,Trade Brains
Tata,lawsuit,Tata lawsuit,Google,TCS Asked To Pay $210 Million Fine To DXC Technology In Trade Secrets Row,https://www.outlookbusiness.com/news/tcs-asked-to-pay-210-million-fine-to-dxc-technology-in-trade-secrets-row,2023-11-27T15:25:33.842+05:30,Outlook Business
Tata,lawsuit,Tata lawsuit,Google,India's TCS to take $125 mln hit to Q3 earnings over US lawsuit,https://www.reuters.com/technology/indias-tcs-take-125-mln-hit-q3-earnings-over-us-lawsuit-2023-11-21/,,Reuters
Tata,lawsuit,Tata lawsuit,Google,Tata Consultancy Beats Whistleblower’s H-1B Visa Fraud Lawsuit,https://news.bloomberglaw.com/federal-contracting/tata-consultancy-beats-whistleblowers-h-1b-visa-fraud-lawsuit,,Bloomberg Law News
Tata,lawsuit,Tata lawsuit,Google,Tata 1mg’s FY24 report; Cognizant-Wipro CFO lawsuit settled,https://m.economictimes.com/tech/newsletters/tech-top-5/tata-1mgs-fy24-report-cognizant-wipro-lawsuit-settled/articleshow/111638073.cms,,The Economic Times
Tata,lawsuit,Tata lawsuit,Google,"More than 20 fired American workers have sued TCS, why and IT giant's  response",https://timesofindia.indiatimes.com/technology/tech-news/more-than-20-fired-americans-workers-of-tcs-have-sued-the-company-what-are-the-allegations-and-it-giants-response/articleshow/108906267.cms,,Times of India
Tata,lawsuit,Tata lawsuit,Google,US techie sues TCS for discrimination against Americans and favouring  Indians on H-1B visas,https://m.economictimes.com/nri/work/us-techie-sues-tcs-for-discrimination-against-americans-and-favouring-indians-on-h-1b-visas/articleshow/109237855.cms,,The Economic Times
Tata,Merger,Tata Merger,Google,Tata LCC to complete on October 1; mega AI Express to have 100 aircraft by  year end,https://timesofindia.indiatimes.com/business/india-business/ex-airasia-india-to-be-merged-into-ai-express/articleshow/113177707.cms,,Times of India
Tata,Merger,Tata Merger,Google,"Tata's financial services, insurance biz saw hefty profits in FY24",https://www.business-standard.com/companies/news/tata-group-s-financial-services-business-make-hefty-profits-in-fy24-124090800510_1.html,,Business Standard
Tata,Merger,Tata Merger,Google,Tata Consumer Products Streamlines Business by Merging Subsidiaries,https://indiahood.com/tata-consumer-products-streamlines-business-by-merging-subsidiaries/,,India Hood
Tata,Merger,Tata Merger,Google,Air India Cuts Losses by 60% in FY24: Tata Group Report,https://money.rediff.com/news/market/air-india-cuts-losses-by-60-in-fy24-tata-group-report/15392820240907,,Rediff Money
Tata,Merger,Tata Merger,Google,"Merger with Tata Motors Finance will broaden Tata Capital’s product  portfolio, says Fitch",https://www.thehindubusinessline.com/companies/merger-with-tata-motors-finance-will-broaden-tata-capitals-product-portfolio-says-fitch/article68327326.ece,2024-06-24T11:26:56.000Z,The Hindu BusinessLine
Tata,Merger,Tata Merger,Google,Air India Express Targets AIX Connect Merger in October; Hamish Maxwell to  Lead,https://www.goodreturns.in/news/air-india-express-merger-aix-connect-maxwell-coo-011-1374891.html,,Goodreturns
Tata,Merger,Tata Merger,Google,Tata group stock announces merger; How many shares will you get?,https://tradebrains.in/features/tata-group-stock-announces-merger-how-many-shares-will-you-get/,,Trade Brains
Tata,Merger,Tata Merger,Google,Air India-Vistara Merger: Tata gets a key task done to move towards merging  four airlines into two,https://m.economictimes.com/industry/transportation/airlines-/-aviation/air-india-vistara-merger-tata-gets-a-key-task-done-to-move-towards-merging-four-airlines-into-two/articleshow/111574056.cms,,The Economic Times
Tata,Merger,Tata Merger,Google,Tata Consumer Products completes merger of three subsidiaries in India,https://www.business-standard.com/companies/news/tata-consumer-products-completes-merger-of-three-subsidiaries-in-india-124090100552_1.html,,Business Standard
Tata,Merger,Tata Merger,Google,Tata Consumer Products completes merger of subsidiaries to simplify and  synergize its business,https://www.foodtechbiz.com/business-updates/tata-consumer-products-completes-merger-of-subsidiaries-to-simplify-and-synergize-its-business,,FoodTechBiz
